booking_ref,notes1,notes2,notes3
BB-7F3A2E91,"NOTE FOR GREETER - CODES FOR GUESTS ARE THE FOLLOWING (PLEASE TEST BEFORE GUESTS ARRIVE)- Street level 47823 (x 2 entry points)- Apartment 91456 PLEASE ENSURE YOU SEND TEXT MAGIC TO GUEST WITH CODE AND ENSURE THEY PRACTICE USING ON BOTH STREET AND APARTMENT LEVEL. Initials: AS | Airbnb HMY8HJK34Z Repeat Guest: Yes Context Of Stay: business trip and exploring the city Group Make Up: 2 adults Any Concerns/Requirements/Requests: late check-in requested around 10pm, guest has dietary restrictions for welcome basket Outlined Check-In/Check-Out time: Yes - arriving late flight Offered Flex Rate: Yes Discount Note: 10% repeat guest discount Admin Fee Note: N/A Homeowner Notes: HO approved late arrival JIRA: https://onefinestay.atlassian.net/browse/OFSLONFIN-33589 Welcome Message: Welcome back to Westbourne Park Road XVIII! We hope you have a wonderful stay in London. - Ashley",NULL,NULL
BB-A4B9CF26,"NOTE FOR GREETER - CODES FOR GUESTS ARE THE FOLLOWING (PLEASE TEST BEFORE GUESTS ARRIVE)- Street level 12319 (x 2 entry points)- Apartment 62295 PLEASE ENSURE YOU SEND TEXT MAGIC TO GUEST WITH CODE AND ENSURE THEY PRACTICE USING ON BOTH STREET AND APARTMENT LEVEL. Initials: RC Repeat Guest: no Context Of Stay: visiting family Group Make Up: 2 Any Concerns/Requirements/Requests: no Outlined Check-In/Check-Out time: N.A Offered Flex Rate: no Discount Note: N/A Admin Fee Note: N/A Homeowner Notes: JIRA: Welcome Message: Welcome to Keystone Crescent! I hope you have a great time in London. Rosie",NULL,NULL
BB-A0EDDE21,"Initials: PC Repeat Guest: yes Context Of Stay: business meetings Group Make Up: 2 adults Any Concerns/Requirements/Requests: late check-in requested Outlined Check-In/Check-Out time: arriving 10pm Offered Flex Rate: yes Discount Note: 10% repeat guest Admin Fee Note: N/A Homeowner Notes: HO approved late arrival JIRA: https://onefinestay.atlassian.net/browse/OFSLONFIN-33423 Welcome Message: Welcome back to Hardwick Street III! We hope you enjoy your stay with us! - Paulina",NULL,NULL
BB-77606EE0,"Advisor Name: AS | Airbnb HMHF3T8PBS Repeat Guest?: No Context Of Stay: We used to live in London and are visiting for the holiday break Group Make Up: 2 Adults & 2 Children Any Concerns/Exceptions/Requirements/Request: None Outlined Check-In/Check-Out time: TBC Offered Flex Rate: No - OTA Booking Discount Note: None Admin Fee Note: None Homeowner Notes: None Jira: https://onefinestay.atlassian.net/browse/OFSLONFIN-33375 Welcome Message: Welcome to Callcott Street IV! Wishing you a lovely stay in your onefinestay home with your family!",NULL,NULL
8442CEA4,"Initials: MK Repeat Guest: no Context Of Stay: solo leisure Group Make Up: 1 adult Any Concerns/Requirements/Requests: no Outlined Check-In/Check-Out time: might not arrive until early am Offered Flex Rate: yes Discount Note: NA Admin Fee Note: no Homeowner Notes: none JIRA: NA Welcome Message: Welcome to Market Place!",NULL,NULL
BB-F4295294,"NOTE FOR GREETER - CODES FOR GUESTS ARE THE FOLLOWING (PLEASE TEST BEFORE GUESTS ARRIVE)- Street level 75818 (x 2 entry points)- Apartment 54356 PLEASE ENSURE YOU SEND TEXT MAGIC TO GUEST WITH CODE AND ENSURE THEY PRACTICE USING ON BOTH STREET AND APARTMENT LEVEL. Initials: JB Repeat Guest: No Context Of Stay: Couple leisure Group Make Up: 2 adults Any Concerns/Requirements/Requests: No Outlined Check-In/Check-Out time: Yes Offered Flex Rate: N/A Discount Note: 5% shared discount Admin Fee Note: N/A Homeowner Notes: N/A Welcome Message: Welcome to Radipole Road IV! I hope you both have a great time in London. Jack",NULL,NULL
BB-1D5EEEB3,"Initials: KF Repeat guest: Yes Purpose of the stay: Leisure Group Make Up: 2 adult Any Concerns/Exceptions/Requirements/Request: N/A Offered Flex: Yes - HO approved Discount Note: N/A Homeowner: N/A Notes: N/A Jira: N/A Welcome Message: Wishing you a lovely stay in your onefinestay home!",NULL,NULL
BB-0463841E,"M&G ACTION REQUIRED: Pre-Auth NOT Captured - Please contact Service/Duty Manager (OOH) immediately! Initials: RC Repeat Guest: no Context Of Stay: attending conference Group Make Up: 1 Any Concerns/Requirements/Requests: early check-in requested Outlined Check-In/Check-Out time: 10am arrival Offered Flex Rate: no Discount Note: N/A Admin Fee Note: N/A Homeowner Notes: JIRA: Welcome Message: Welcome to Elvaston Place III! I hope you have a great time in London. Rosie",NULL,NULL
BB-C6883F22,"Initials: CS Repeat Guest?: No Context Of Stay: business trip Group Make Up: 3 adults Any Concerns/Exceptions/Requirements/Request: Outlined Check-In/Check-Out time: Yes Offered Flex Rate: Discount Note: Admin Fee Note: Homeowner Notes: Jira: https://onefinestay.atlassian.net/browse/OFSLONFIN-33470 Welcome Message: Welcome to Ebury Street! Enjoy your stay!",NULL,NULL
46F45D7E,"Initials: JB Repeat Guest: No Context Of Stay: Relocating Group Make Up: 2 adults + cats Any Concerns/Requirements/Requests: Pets approved by HO. Collecting security deposit of £2000 Outlined Check-In/Check-Out time: Yes Offered Flex Rate: N/A Discount Note: N/A Admin Fee Note: N/A Homeowner Notes: HO approved JIRA: https://onefinestay.atlassian.net/browse/OFSLONFIN-33107 Welcome Message: Welcome to Willes Road II! I hope you both have a great time in London. Jack",NULL,NULL
